,prompt,test_score,llm
0,"What's the sentiment of this film review? Choose from: very negative, negative, neutral, positive, or very positive. Format your response with <final_answer> </final_answer>.",0.6,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
1,"Determine the emotional tone of the following movie critique. Is it very negative, negative, neutral, positive, or very positive? Your classification must be provided between <final_answer> and </final_answer> markers.",0.574,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
2,"Sentiment analysis task: categorize this cinema review as very negative, negative, neutral, positive, or very positive. Include your final classification within <final_answer> </final_answer>.",0.578,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
3,"Read the movie review and identify its sentiment. Select from these five categories: very negative, negative, neutral, positive, or very positive. Place your answer inside <final_answer> </final_answer>.",0.59,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
4,"Analyze the sentiment expressed in this film critique. Categorize it as either very negative, negative, neutral, positive, or very positive, and present your answer between <final_answer> </final_answer> tags.",0.6,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
5,"Quick sentiment check - is this movie review very negative, negative, neutral, positive, or very positive? Answer within <final_answer> </final_answer>.",0.58,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
6,"Evaluate the emotional content of the following film review and classify it into one of five sentiment categories: very negative, negative, neutral, positive, or very positive. Your classification must be provided between <final_answer> and </final_answer> markers.",0.58,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
7,"Given this movie critique, determine whether the overall sentiment is very negative, negative, neutral, positive, or very positive. Express your answer using the required format: <final_answer> chosen_category </final_answer>.",0.59,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
8,"What sentiment does this movie review convey? Pick from very negative, negative, neutral, positive, or very positive. Remember to format as <final_answer> your_classification </final_answer>.",0.584,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
9,"Assess the tone of the provided film review and categorize it as one of the following: very negative, negative, neutral, positive, or very positive. Your final classification must appear between <final_answer> and </final_answer> tags.",0.598,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
10,"Classify the sentiment in this cinema critique using a five-point scale: very negative, negative, neutral, positive, or very positive. Your answer must be enclosed within <final_answer> </final_answer>.",0.576,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
11,"I need you to determine whether the sentiment of this film review is very negative, negative, neutral, positive, or very positive. Your final answer should be formatted like this: <final_answer> sentiment_category </final_answer>.",0.574,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
12,"Movie review sentiment classification task: From the following five options - very negative, negative, neutral, positive, or very positive - which best describes this review? Your answer must appear between <final_answer> and </final_answer> markers.",0.604,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
13,"Review the text and decide which sentiment category applies: very negative, negative, neutral, positive, or very positive. Your classification must be provided between <final_answer> </final_answer> tags.",0.6,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
14,"Sentiment detection: Read this movie review carefully and identify whether it expresses a very negative, negative, neutral, positive, or very positive sentiment. Your final classification should be presented as <final_answer> classification </final_answer>.",0.542,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
15,Let's think step by step.,0.29,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
16,Let's work this out in a step by step way to be sure we have the right answer.,0.29,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
17,,0.29,vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ
