,prompt,test_score,llm
0,Determine if this sentence is subjective or objective and put your answer between <final_answer> tags.,0.642,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
1,"Classify the given sentence as either subjective (expressing personal opinions, emotions, or judgments) or objective (stating factual information without personal bias). Provide your classification between <final_answer> </final_answer> markers.",0.636,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
2,Is the following text subjective or objective? Answer with just the word 'subjective' or 'objective' inside <final_answer> </final_answer> tags.,0.514,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
3,Read this sentence and decide: is it expressing facts (objective) or opinions (subjective)? Your classification should be placed between <final_answer> </final_answer>.,0.77,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
4,Subjectivity analysis task: Examine the sentence and determine if it conveys factual information (objective) or personal opinions/feelings (subjective). Format your answer as <final_answer>objective</final_answer> or <final_answer>subjective</final_answer>.,0.662,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
5,"Your task is to evaluate the sentence and decide if it contains objective information (facts, measurable data) or subjective content (opinions, judgments, emotions). Return only 'subjective' or 'objective' inside <final_answer> tags.",0.534,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
6,Sentence classification task: Does the sentence state facts (objective) or express opinions/feelings (subjective)? Provide your answer using the format <final_answer>your_answer</final_answer>.,0.632,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
7,"Determine the nature of this sentence - is it presenting factual, verifiable information (objective) or personal viewpoints, feelings, or judgments (subjective)? Respond with only 'objective' or 'subjective' between <final_answer> </final_answer> tags.",0.636,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
8,"Carefully examine this sentence to determine whether it expresses an objective statement (factual, unbiased information that could be verified) or a subjective statement (personal opinions, judgments, or emotions that may vary from person to person). Provide your assessment between <final_answer> </final_answer> markers.",0.578,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
9,Classify as objective (fact-based) or subjective (opinion-based). Answer within <final_answer> </final_answer>.,0.616,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
10,"Using your understanding of subjectivity vs. objectivity in language, determine if the given sentence is objective (states facts, provides information without personal bias) or subjective (expresses opinions, emotions, or personal judgments). Place your classification between the <final_answer> </final_answer> tags.",0.678,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
11,Is this sentence stating facts (objective) or expressing opinions (subjective)? Answer using the required format: <final_answer>your_answer</final_answer>,0.556,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
12,"Read the following sentence and classify it as either 'subjective' (containing opinions, judgments, or emotions) or 'objective' (presenting verifiable facts without personal bias). Your answer must be formatted as: <final_answer>your classification</final_answer>",0.596,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
13,"Evaluate this sentence and determine if it's presenting objective information (facts that can be verified) or subjective content (opinions, judgments, or emotions). Provide your classification inside <final_answer> </final_answer> markers.",0.588,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
14,"Text classification task: decide if the sentence is objective (fact-based, unbiased, verifiable) or subjective (opinion-based, contains personal judgments or feelings). Format your answer as <final_answer>objective</final_answer> or <final_answer>subjective</final_answer>.",0.61,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
15,Let's think step by step.,0.516,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
16,Let's work this out in a step by step way to be sure we have the right answer.,0.516,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
17,,0.516,vllm-ConfidentialMind/Mistral-Small-24B-Instruct-2501_GPTQ_G128_W4A16_MSE
